Id|ExportNaarOrafin|Naam|VerantwoordelijkeAutoriteitCode|ipdc-ID-link
DVR000000001|False|Werkplek duaal leren|OVO000079|1468
DVR000000002|True|Subsidies aan havenbedrijven voor bepaalde havenkapiteindiensten|OVO000097|237
DVR000000005|True|Pimp je Speelplaats|OVO000089|1385
DVR000000012|True|Subsidies aan de verenigingen waar armen het woord nemen|OVO000056|1335
DVR000000018|True|Kmo-portefeuille|OVO000039|198
DVR000000022|True|Erkenning en subsidiëring van voorzieningen van de bijzondere jeugdbijstand|OVO000065|593
DVR000000024|True|Erkenning en subsidiëring van sociaal-toeristische verenigingen|OVO000034|577
DVR000000028|True|Vlaamse renovatiepremie (RENO)|OVO000106|516
DVR000000054|True|Erfgoedpremie|OVO000104|700
DVR000000055|True|Erfgoedpremie meerjarenovereenkomst|OVO000104|1504
DVR000000058|True|Onderzoekspremie|OVO000104|1545
DVR000000059|True|Premie voor varend erfgoed - BVR van 4/6/2004|OVO000104|932
DVR000000060|True|Premie voor varend erfgoed - BVR van 27/11/2015|OVO000104|932
DVR000000079|True|Subsidies voor de opmaak van een beheerplan|OVO000089|398
DVR000000083|True|Bebossing/herbebossing/inkomenssteun|OVO000089|433
DVR000000085|True|Ondersteuning wildbeheereenheden|OVO000089|196
DVR000000088|True|Subsidie voor openstellen bos|OVO000089|428
DVR000000089|True|Subsidie ecologische bosfunctie|OVO000089|414
DVR000000100|True|Subsidies aan autonoom vrijwilligerswerk in de zorgsector|OVO000056|488
DVR000000101|True|Subsidies aan voorzieningen algemeen welzijnswerk|OVO000056|465
DVR000000102|True|Subsidies aan centra voor tele-onthaal|OVO000056|441
DVR000000104|True|Subsidies juridische eerstelijnsbijstand|OVO000056|38
DVR000000106|True|Projectsubsidies in het kader van armoedebestrijding|OVO000056|328
DVR000000145|True|Vlaamse verbeterings- en aanpassingspremie (VAP)|OVO000106|675
DVR000000146|True|Huursubsidie|OVO000106|697
DVR000000147|True|Huurpremie|OVO000106|692
DVR000000164|True|Verzekering gewaarborgd wonen|OVO000106|185
DVR000000202|True|Subsidie ikv biologische productiemethode (hectaresteun)|OVO000082|480
DVR000000203|True|Subsidie voor boslandbouwsystemen (agroforestry)|OVO000082|468
DVR000000207|True|Subsidie ikv Kratos/bedrijfsadvies|OVO000082|519
DVR000000210|True|Subsidie ikv Europese schoolfruit, -groenten en -melkregeling|OVO000082|382
DVR000000211|True|Subsidie voor zorgboerderijen|OVO000082|218
DVR000000212|True|Subsidie voor fokkerij|OVO000082|478
DVR000000214|True|Subsidie voor controlekosten biologische landbouw|OVO000082|562
DVR000000217|True|Werkingssubsidie voor VLAM (Vlaams Centrum voor Agro- en Visserijmarketing)|OVO000082|560
DVR000000225|True|Kmo-groeisubsidie|OVO000039|1399
DVR000000226|True|Ontwikkelingsproject|OVO000039|1539
DVR000000227|True|Onderzoeksproject|OVO000039|1540
DVR000000228|True|Strategische transformatiesteun (STS)|OVO000039|1146
DVR000000229|True|Ecologisch en veilig transport|OVO000039|1467
DVR000000230|True|Ecologiepremie plus|OVO000039|200
DVR000000231|True|Strategische ecologiesteun (STRES)|OVO000039|1220
DVR000000232|True|Compensatie indirecte emissiekosten|OVO000039|990
DVR000000233|True|Hinderpremie|OVO000039|1440
DVR000000235|True|Innovatiemandaten|OVO000039|281
DVR000000236|True|Baekeland-mandaat|OVO000039|313
DVR000000238|True|Bedrijventerreinen|OVO000039|355
DVR000000242|True|Bedrijvencentra en doorgangsgebouwen|OVO000039|310
DVR000000247|True|KMO-haalbaarheidsstudie|OVO000039|269
DVR000000248|True|KMO-innovatieprojecten|OVO000039|312
DVR000000249|True|Sprint-Project|OVO000039|1230
DVR000000250|True|O&O-bedrijfsproject|OVO000039|279
DVR000000252|True|VIS-Trajecten|OVO000039|280
DVR000000253|True|Inkomenscompensatievergoeding - Vlaams Gewest|OVO000039|737
DVR000000254|True|Rentetoelage voor hinder bij openbare werken|OVO000039|367
DVR000000268|True|Subsidies mobiliteitsverenigingen|OVO000096|256
DVR000000278|True|Onderzoeksinfrastructuur - Lissabonstrategie|OVO000038|275
DVR000000300|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: kortverblijf|OVO000060|82
DVR000000336|True|Beurs Circusdecreet Bijscholing en opleiding circuskunstenaars Beurzen internationale bijscholing|OVO000067|610
DVR000000337|True|Beurs Circusdecreet Bijscholing en opleiding circuskunstenaars Deelname aan opleidingen tot docent|OVO000067|610
DVR000000349|True|Decreet Jeugdverblijfcentra ondersteuningsstructuren vzw Centrum voor jeugdtoerisme|OVO000067|704
DVR000000350|True|Decreet Jeugdverblijfcentra ondersteuningsstructuren vzw Vlaamse Jeugdherbergen|OVO000067|704
DVR000001353|True|Enveloppe Decreet Jeugdverblijfcentra Jeugdverblijfcentra, Hostels, ondersteuningsstructuren en de vzw ADJ Subsidiëring van ADJ, CJT en VJH|OVO000067|704
DVR000001360|True|Erkenning Cultureel-erfgoeddecreet (nieuw CED) Kwaliteitslabel|OVO000067|234
DVR000001361|True|Erkenning cultuureducatieve verenigingen|OVO000067|635
DVR000001362|True|Erkenning Landelijk georganiseerde jeugdverenigingen|OVO000067|634
DVR000001364|True|Erkenning verenigingen informatie en participatie|OVO000067|636
DVR000001413|True|Nieuwe disciplines (Amateurkunsten)|OVO000067|611
DVR000001421|True|Personeelssubsidie Decreet Jeugdverblijfcentra Jeugdverblijfcentra, Hostels, ondersteuningsstructuren en de vzw ADJ Centra met personeel -en werkingsubsidie|OVO000067|704
DVR000001431|True|Projectsubsidie Circusdecreet Creatie van circuskunstproducties|OVO000067|610
DVR000001432|True|Projectsubsidie Circusdecreet Ondersteuning en promotie circuskunsten Promotie van circuskunsten|OVO000067|610
DVR000001433|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Eénjarige festivals|OVO000067|610
DVR000001434|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Internationale spreiding van Vlaamse circusproductie|OVO000067|610
DVR000001435|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Meerjarige festivals|OVO000067|610
DVR000001436|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Nomadische tournees in Vlaanderen|OVO000067|610
DVR000001445|True|Projectsubsidie Participatiedecreet Projecten ter bevordering van de participatie van kansengroepen in cultuur, jeugdwerk of sport|OVO000067|614
DVR000001448|True|Projectsubsidie voor internationale cultureel erfgoedprojecten|OVO000067|258
DVR000001449|True|Projectsubsidie voor ontwikkelingsgerichte cultureel erfgoedprojecten|OVO000067|258
DVR000001462|True|Subsidiëring cultuureducatieve verenigingen|OVO000067|635
DVR000001464|True|Subsidiëring Landelijk georganiseerde jeugdverenigingen|OVO000067|634
DVR000001465|True|Subsidiëring verenigingen informatie en participatieJeugd|OVO000067|636
DVR000001497|True|Vrijetijdspas|OVO000067|40
DVR000001502|True|Werkingssubsidie Circusdecreet Ondersteuning en promotie circuskunsten Ondersteuning circuscentrum|OVO000067|610
DVR000001508|True|Werkingssubsidie en Personeelssubsidie Decreet Jeugdverblijfcentra Jeugdverblijfcentra en Hostels|OVO000067|704
DVR000001517|True|Werkingssubsidie Participatiedecreet Hobbyverenigingen|OVO000067|616
DVR000001518|True|Werkingssubsidie Participatiedecreet Laagdrempelige educatie voor kansengroepen|OVO000067|615
DVR000001614|True|GK - Projectsubsidie Gelijke kansen|OVO001835|526
DVR000001622|True|Brussel - Subsidie Projecten voor Brussel (Subsidiegids)|OVO001835|368
DVR000001626|True|Vlaamse Rand - Facultatieve subsidie faciliteitengemeenten|OVO001835|515
DVR000001627|True|Vlaamse Rand - Impulsprojectsubsidie|OVO001835|1391
DVR000001656|True|Subsidies leegstaande bedrijfsruimten (verwerving en sanering - variabel krediet)|OVO003323|531
DVR000001683|True|Subsidie kinderopvang - subsidie voor inkomenstarief gezinsopvang|OVO000061|1130
DVR000001684|True|Subsidie kinderopvang - subsidie voor inkomenstarief groepsopvang|OVO000061|1130
DVR000001717|True|Adoptiepremie|OVO000061|806
DVR000001744|True|Zorgbudget voor zwaar zorgbehoevenden|OVO000120|365
DVR000001745|True|Zorgbudget voor ouderen met zorgnood|OVO000120|131
DVR000001750|True|Reglementaire subsidies samenwerkingsinitiatieven eerstelijnsgezondheidszorg (SEL)|OVO000059|467
DVR000001793|True|Erkenning psychiatrische verzorgingstehuizen|OVO000059|440
DVR000001794|True|Erkenning en subsidiëring diensten voor thuisverpleging|OVO000059|412
DVR000001803|True|Dienstencheques|OVO000076|130
DVR000001808|True|VOP|OVO000076|220
DVR000001809|True|Aanwervingsincentive|OVO000076|1436
DVR000001810|True|Transitiepremie|OVO000076|1486
DVR000001817|True|ESF- subsidies|OVO000076|336
DVR000001818|True|Aanmoedigingspremies|OVO000076|699
DVR000001819|True|Vlaams zorgkrediet|OVO000076|1421
DVR000001820|True|Ervaringsfonds|OVO000076|1229
DVR000001821|False|Arbeidskaarten|OVO000076|582
DVR000001822|False|Beroepskaarten|OVO000076|961
DVR000001828|True|Betaald educatief verlof|OVO000076|1344
DVR000001830|False|Ervaringsbewijs|OVO000076|332
DVR000001832|False|Opleidingscheques|OVO000076|199
DVR000001834|True|Beschutte werkplaatsen|OVO000076|343
DVR000001836|True|Sociale werkplaatsen|OVO000076|341
DVR000001840|True|Arbeidszorg|OVO000076|345
DVR000001841|False|SINE|OVO000076|1469
DVR000001842|True|Invoegbedrijven|OVO000076|339
DVR000001855|False|Werkhervattingstoeslag (uitdovend)|OVO000076|889
DVR000001857|False|Loopbaanonderbreking (uitdovend)|OVO000076|1365
DVR000001885|True|Subsidies in kader van het decreet mobiliteitsbeleid – Projectsubsidies|OVO000190|294
DVR000001889|True|Leertijd|OVO000079|563
DVR000001890|True|Ondernemerschapstrajecten|OVO000079|334
DVR000002017|False|Kaphout afvoeren||1
DVR000002018|False|Financiële tegemoetkoming in de begrafeniskosten voor oud-strijders||2
DVR000002019|False|Eensluidend verklaarde kopie||3
DVR000002020|False|Ophalen van glas via de glascontainer||4
DVR000002021|False|Huisvuilstickers||5
DVR000002022|False|Hulp nodig bij vervullen administratieve taken||7
DVR000002023|False|Gemeentelijke premie voor inbraakpreventie||9
DVR000002024|False|Inleveren bouwafval en bouwresten||10
DVR000002025|False|Onthaal nieuwe inwoners||13
DVR000002026|False|Ophalen kerstboom||14
DVR000002027|False|Huis-aan-huisinzameling van glas||15
DVR000002028|False|Huis-aan-huisinzameling van grofvuil||16
DVR000002029|False|Huis-aan-huisinzameling van klein gevaarlijk afval||17
DVR000002030|False|Huis-aan-huisinzameling van papier en karton||18
DVR000002031|False|Huis-aan-huisinzameling van plastic-, metaal- en drankverpakkingen (PMD)||19
DVR000002032|False|Huis-aan-huisinzameling van restafval||20
DVR000002033|False|Huis-aan-huisinzameling van snoeihout||21
DVR000002034|False|Peterschap van een grafmonument||22
DVR000002035|False|Sorteerpasje||23
DVR000002036|False|Afhalen weggehaalde fiets/bromfiets||24
DVR000002037|False|Afhalen gevonden voorwerpen||25
DVR000002038|False|Toelating voor het aanleggen van een geveltuin||26
DVR000002039|False|Toelating om bij een evenement af te wijken van het geluidsniveau||27
DVR000002040|False|Verkoop gevonden fietsen en bromfietsen||28
DVR000002041|False|Premie voor het aanleggen van een geveltuin||30
DVR000002042|False|Premie voor het aanleggen van een groendak||31
DVR000002043|False|Premie voor een huwelijksjubileum||32
DVR000002044|False|Bruikleen of hergebruik van een grafmonument||33
DVR000002045|False|Speelpleinwerking||34
DVR000002046|False|Cultuurcheque||35
DVR000002047|False|Taxicheques||36
DVR000002048|False|Dringende steun in noodsituaties||37
DVR000002049|False|Zorgtariefpas||39
DVR000002050|False|Tussenkomst eerste maand huishuur||41
DVR000002051|False|Financiële tussenkomst voor de aanpassing van de woning van ouderen en personen met een handicap||42
DVR000002052|False|Arbeidstrajectbegeleiding||43
DVR000002053|False|Atelierwerking||44
DVR000002054|False|Openbare computerruimten||45
DVR000002055|False|Gebruiken van computerklassen||46
DVR000002056|False|Gebruik van een fuifruimte||47
DVR000002057|False|Schoollokalen huren buiten de schooluren||48
DVR000002058|False|Infrastructuur en materiaal gebruiken voor sociaal-culturele activiteiten||49
DVR000002059|False|Jeugdcentrum gebruiken voor jongerenactiviteiten||50
DVR000002060|False|Kookinfrastructuur gebruiken||51
DVR000002061|False|Uitlenen van evenementenmateriaal||52
DVR000002062|False|Gebruiken van een polyvalente ruimte||53
DVR000002063|False|Gebruiken van een repetitieruimte||54
DVR000002064|False|Gebruiken van een speelterrein||55
DVR000002065|False|Gebruik van sportinfrastructuur||56
DVR000002066|False|Gebruiken van studieruimten||57
DVR000002067|False|Gebruiken van een theaterinfrastructuur||58
DVR000002068|False|Bibliotheekvoorzieningen voor personen met een beperking||59
DVR000002069|False|Boekenuitleendienst aan huis||60
DVR000002070|False|Boodschappendienst||61
DVR000002071|False|Budgetbegeleiding||62
DVR000002072|False|Budgetbeheer||63
DVR000002073|False|Buitenschoolse kinderopvang||64
DVR000002074|False|Crisisopvang||65
DVR000002075|False|Cultuurkorting voor studenten||66
DVR000002076|False|Dienst aangepast vervoer voor minder mobiele personen||67
DVR000002077|False|Doorgangswoning, transitwoning of noodwoning||68
DVR000002078|False|Financiële tussenkomst bij het betalen van uw energiefacturen||69
DVR000002079|False|Financiële tussenkomst bij hospitalisatiekosten||70
DVR000002080|False|Financiële tussenkomst voor deelname van kinderen en jongeren aan het georganiseerde vrijetijdsaanbod||71
DVR000002081|False|Aanvragen van een gidsbeurt||72
DVR000002082|False|Grabbelpas||73
DVR000002083|False|Gratis bonnen voor tweedehandsaankopen||74
DVR000002084|False|Gratis vuilniszakken||75
DVR000002085|False|Huistaakbegeleiding||76
DVR000002086|False|Gemeentelijke financiële tussenkomst in de huurkosten||77
DVR000002087|False|Financiële tussenkomst in de huurwaarborg||78
DVR000002088|False|Financiële tegemoetkoming voor jeugdactiviteiten||79
DVR000002089|False|Kopie van een archiefdocument||80
DVR000002090|False|Cultuurkaart||81
DVR000002091|False|Mantelzorgpremie||83
DVR000002092|False|Financiële tussenkomst in mutualiteitsbijdragen||84
DVR000002093|False|Nieuwjaarsgeschenk voor chronisch zieken of personen met een handicap||86
DVR000002094|False|Ter beschikking stellen van een palliatieve kamer||87
DVR000002095|False|Aanvragen van een parkeerplaats voor personen met een handicap||88
DVR000002096|False|Gemeentelijke premie voor het opstarten van een kinderdagverblijf||89
DVR000002097|False|Projectsubsidie cultuur||90
DVR000002098|False|Psychosociale hulp||91
DVR000002099|False|Archiefdocumenten raadplegen||92
DVR000002100|False|Borgstelling voor een woonzorgcentrum||93
DVR000002101|False|Financiële tussenkomst in de schoolkosten||94
DVR000002102|False|Schuldbemiddeling||95
DVR000002103|False|Vermindering op de huisvuilbelasting||96
DVR000002104|False|Sportkorting voor studenten||97
DVR000002105|False|Strijkatelier of strijkwinkel||98
DVR000002106|False|Subsidie voor het aankopen van groot materiaal voor jeugdwerk||99
DVR000002107|False|Subsidie voor het bevorderen van diversiteit in sport, cultuur en jeugd||100
DVR000002108|False|Gemeentelijke subsidie voor erfgoedverenigingen||101
DVR000002109|False|Gemeentelijke subsidie voor investeringen in infrastructuur in het jeugdwerk||102
DVR000002110|False|Subsidie ouderbetrokkenheid bij school||104
DVR000002111|False|Subsidie voor het organiseren van sportevenementen||105
DVR000002112|False|Thuisopvang voor zieke kinderen||106
DVR000002113|False|Tussenkomst voor haarverzorging||107
DVR000002114|False|Thuiszorg - Huishoudelijke hulp||108
DVR000002115|False|Maaltijdbedeling aan huis||109
DVR000002116|False|Thuiszorg - Oppasdienst||110
DVR000002117|False|Persoonsverzorging||111
DVR000002118|False|Voetverzorging||112
DVR000002119|False|Toelage voor instellingen voor personen met een handicap||113
DVR000002120|False|Gemeentelijke premie voor de opvang van personen met een handicap||114
DVR000002121|False|Tussenkomst in farmaceutische en (para-) medische kosten||115
DVR000002122|False|Tussenkomst in de taxikosten||116
DVR000002123|False|Tweedehandskledij||117
DVR000002124|False|Ontlenen van boeken, cd's, dvd's en ander bibliotheekmateriaal||118
DVR000002125|False|Ontlenen van materiaal voor jeugdactiviteiten en jeugdwerk||119
DVR000002126|False|Financiële tussenkomst voor een verblijf in een woonzorgcentrum||120
DVR000002127|False|Vervoer minder mobiele personen||121
DVR000002128|False|Voedselpakketten||122
DVR000002129|False|Gemeentelijke premie voorhuwelijkssparen||123
DVR000002130|False|Voorschotten op sociale uitkeringen||124
DVR000002131|False|Financiële tussenkomst voor waterverbruik||125
DVR000002132|False|Erkenning als verdeler van officiële afvalzakken||127
DVR000002133|False|Leefloon|OVO027345|134
DVR000002134|False|Noodoproepen|OVO027254|135
DVR000002135|False|Overlevingspensioen|OVO024764|136
DVR000002136|False|Huwelijk|OVO027233|139
DVR000002137|False|Wettelijk samenwonen|OVO027233|144
DVR000002138|False|Buitenlandse huwelijksakte erkennen en overschrijven|OVO024762|145
DVR000002139|False|Collectieve schuldenregeling|OVO003988|146
DVR000002140|False|Kids-ID: Elektronisch identiteitsdocument voor kinderen onder de 12 jaar|OVO027249|147
DVR000002141|False|Elektronische identiteitskaart (eID)|OVO027249|148
DVR000002142|False|Nietig verklaren van een huwelijk|OVO003988|149
DVR000002143|False|Internationaal rijbewijs|OVO004067|152
DVR000002144|False|Federaal token|OVO025178|155
DVR000002145|False|Een kind erkennen|OVO003988|156
DVR000002146|False|Geboorteaangifte|OVO003988|157
DVR000002147|False|Orgaandonatie|OVO008238|158
DVR000002148|False|Overlijdensaangifte|OVO027233|159
DVR000002149|False|Parkeerkaart voor personen met een handicap|OVO027282|160
DVR000002150|False|Wilsverklaring inzake euthanasie|OVO008238|163
DVR000002151|False|Huwelijksaangifte|OVO027233|173
DVR000002152|False|Fiets huren||175
DVR000002153|False|Premie voor superisolerend glas||180
DVR000002154|False|Bewonerskaart|OVO027233|181
DVR000002155|False|Jachtverlof en jachtvergunning|OVO000089|186
DVR000002156|False|Visverlof|OVO000089|187
DVR000002157|False|Verplichte keuring van uw privériolering voor afvoer van afval- of regenwater|OVO000092|188
DVR000002158|False|Vrijstelling of vermindering van inschrijvingsgeld in het volwassenenonderwijs|OVO000049|189
DVR000002159|False|Een diploma secundair onderwijs behalen via het secundair volwassenenonderwijs (vroeger tweedekansonderwijs)|OVO000049|190
DVR000002160|False|Begeleiding van inburgeraars (het Inburgeringstraject)|OVO001846|193
DVR000002161|False|Verplichte keuring van de waterleidingen bij nieuwbouw en renovatie|OVO000111|194
DVR000002162|False|Erkenning van een wildbeheereenheid|OVO000089|195
DVR000002163|False|Premie voor het behalen van een diploma secundair onderwijs via het volwassenenonderwijs|OVO001951|197
DVR000002164|False|Verhoogde vermindering van de onroerende voorheffing voor bescheiden woning|OVO000031|201
DVR000002165|False|Eurovignet voor vrachtwagens||202
DVR000002166|False|Ophalen GFT||203
DVR000002167|False|Erkenning van mestvoerders|OVO000094|204
DVR000002168|False|Registratie van verzenders van meststoffen|OVO000094|205
DVR000002169|False|Aangifte bij de Mestbank|OVO000094|206
DVR000002170|False|Subsidies in het kader van cultuurkuur en dynamo3|OVO000049|208
DVR000002171|False|Startbanenproject 'Scholen voor Jongeren - Jongeren voor Scholen' voor een positief schoolklimaat|OVO000050|209
DVR000002172|False|Lerarenkaart|OVO000049|210
DVR000002173|False|Startbanenproject Verkeersveiligheid voor veiliger woon-schoolverkeer|OVO000050|211
DVR000002174|False|Bevolkingsonderzoek bij pasgeborenen naar aangeboren aandoeningen via een bloedonderzoek|OVO000059|212
DVR000002175|False|Erasmus uitwisselingsprogramma en Erasmusbeurs om in het buitenland te studeren|OVO004097|213
DVR000002176|False|Aanvraag tot onderzoek van het binnenmilieu in een woning of openbaar gebouw|OVO000059|214
DVR000002177|False|Energieprestatiecertificaat voor een publiek gebouw|OVO000090|216
DVR000002178|False|Jaarlijkse verkeersbelasting voor aan te geven voertuigen|OVO027269|217
DVR000002179|False|Erkenning van bedrijfsgezondheidsdiensten|OVO000059|221
DVR000002180|False|Gratis controle van putwater bij eigen grondwaterwinning|OVO000092|222
DVR000002181|False|Individuele Beroepsopleiding (IBO) voor werkzoekenden|OVO000078|223
DVR000002182|False|Ontheffing van loodsplicht voor kleine zeeschepen|OVO000097|225
DVR000002183|False|Jaarlijkse verkeersbelasting voor personenwagens en aanverwante voertuigen|OVO027269|227
DVR000002184|False|Onroerende voorheffing|OVO000031|228
DVR000002185|False|Heffing op de winning van grondwater|OVO000092|235
DVR000002186|False|Erkenning als Vlaams ontwikkelingsfonds voor microfinanciering in de ontwikkelingssamenwerking|OVO000032|236
DVR000002187|False|Vergunning voor watervang|OVO000112|238
DVR000002188|False|Sociaal tarief en vrijstelling van de heffing op de waterverontreiniging|OVO000092|241
DVR000002189|False|Omgevingsvergunning voor het wijzigen van kleine landschapselementen of vegetaties|OVO000089|242
DVR000002190|False|Omnipas 65+|OVO000100|245
DVR000002191|False|Kaart voor kosteloze begeleider van een persoon met een handicap op het openbaar vervoer|OVO003863|246
DVR000002192|False|Gratis abonnement van De Lijn voor personen met een handicap|OVO000100|247
DVR000002193|False|Buzzy Pazz of Omnipas 'Vervoersgarantie' (VG)|OVO000100|248
DVR000002194|False|Euregio-ticket (dagpas bus en trein gebied Euregio Maas - Rijn)|OVO000100|249
DVR000002195|False|Gratis abonnement van NMBS en De Lijn voor oorlogsinvaliden en oud-strijders|OVO003863|250
DVR000002196|False|Attest voor personenvervoer voor eigen rekening|OVO000096|252
DVR000002197|False|Machtiging voor de tijdelijke vervanging van een voertuig van een taxidienst of verhuurdienst|OVO000096|253
DVR000002198|False|Vergunning voor het uitbaten van een taxidienst|OVO000096|254
DVR000002199|False|Vergunning voor de verhuur van voertuigen met bestuurder|OVO000096|255
DVR000002200|False|Vergunning voor het organiseren van grensoverschrijdend geregeld vervoer|OVO000096|257
DVR000002201|False|Erkenning en subsidiëring van kunstenaars en professionele kunstenorganisaties|OVO000067|259
DVR000002202|False|Erkenning en subsidiëring van sportfederaties en organisaties voor sportieve vrijetijdsbesteding|OVO000070|261
DVR000002203|False|Erkenning en vergunning van een radio-omroep|OVO000071|263
DVR000002204|False|Praktische ondersteuning voor sportpromotionele evenementen|OVO000070|265
DVR000002205|False|Subsidiedatabank voor ondernemingen|OVO000039|268
DVR000002206|False|Aspirantenmandaat|OVO025831|272
DVR000002207|False|Steun voor kmo's bij toepassing van milieu- en energievriendelijke technologie (PRODEM)|OVO000041|274
DVR000002208|False|Investering van risicokapitaal in beloftevolle kmo's (Arkimedes)|OVO000044|276
DVR000002209|False|Investering in een creatieve onderneming (CultuurInvest)|OVO000044|277
DVR000002210|False|Vergunning of overeenkomst om bijzondere vormen van geregeld vervoer te organiseren|OVO000096|283
DVR000002211|False|Ontheffing van loodsplicht voor grote zeeschepen|OVO000097|284
DVR000002212|False|Vergunning voor het privégebruik van waterwegen en hun aanhorigheden|OVO000112|285
DVR000002213|False|Buzzy Pazz of Omnipas 'Verhoogde Tegemoetkoming' (VT)|OVO000100|289
DVR000002214|False|Bemiddelaar Grootschalige Vlaamse Infrastructuurprojecten|OVO000096|290
DVR000002215|False|Subsidies voor duurzaam woon-werkverkeer via het Pendelfonds|OVO000096|292
DVR000002216|False|Subsidie voor een actieprogramma duurzame mobiliteit van een niet-erkende mobiliteitsvereniging|OVO000096|293
DVR000002217|False|Doctoraatsbeurs strategisch basisonderzoek|OVO025831|296
DVR000002218|False|Klinische doctoraatsbeurs|OVO025831|299
DVR000002219|False|Bijzondere doctoraatsbeurs|OVO025831|300
