Id|ExportNaarOrafin|Naam|VerantwoordelijkeAutoriteitCode|status uit ipdc
DVR000000001|False|Werkplek duaal leren|OVO000079|actief
DVR000000002|True|Subsidies aan havenbedrijven voor bepaalde havenkapiteindiensten|OVO000097|stopgezet
DVR000000003|True|Punctuele, decretale of facultatieve investeringssubsidies|OVO000104|actief
DVR000000004|True|Decretale subsidiëring topsport|OVO000070|actief
DVR000000005|True|Pimp je Speelplaats|OVO000089|actief
DVR000000006|True|Subsidies steunpunten|OVO001827|actief
DVR000000007|True|Subsidie aan beleidsdomeinoverschrijdende projecten en evenementen die de uitstraling van Vlaanderen bevorderen|OVO001827|actief
DVR000000008|True|Subsidies Vlaams beleid duurzame ontwikkeling|OVO001827|actief
DVR000000009|True|Subsidies in het kader van het bouwmeesterschap|OVO001827|actief
DVR000000012|True|Subsidies aan de verenigingen waar armen het woord nemen|OVO000056|actief
DVR000000013|True|Subsidies aan organisaties voor de opleiding van ervaringsdeskundigen in de armoede en sociale uitsluiting|OVO000056|actief
DVR000000016|True|Basissubsidie beheermaatregelen|OVO000089|actief
DVR000000017|True|Aanvullende subsidie bosomvorming|OVO000089|actief
DVR000000018|True|Kmo-portefeuille|OVO000039|actief
DVR000000019|True|Subsidie ikv agromilieumaatregelen|OVO000082|actief
DVR000000020|True|Facultatieve subsidie|OVO000096|actief
DVR000000021|True|Deelname buitenlandse beurs of niche-evenement|OVO000035|actief
DVR000000022|True|Erkenning en subsidiëring van voorzieningen van de bijzondere jeugdbijstand|OVO000065|actief
DVR000000023|True|Subsidies voor innovatieve projecten ikv duurzaam materialenbeheer|OVO000151|actief
DVR000000024|True|Erkenning en subsidiëring van sociaal-toeristische verenigingen|OVO000034|actief
DVR000000025|True|Verplaatsings- en verblijfskosten ikv toeleiding|OVO000060|actief
DVR000000026|True|Exploitatiesubsidies havens|OVO000190|actief
DVR000000027|True|Vitamine C|OVO000067|actief
DVR000000028|True|Vlaamse renovatiepremie (RENO)|OVO000106|stopgezet
DVR000000029|True|Ziekenhuizen - strategisch forfait - kapitaal|OVO000066|actief
DVR000000030|True|Ziekenhuizen - strategisch forfait - intrest|OVO000066|actief
DVR000000031|True|Subsidies experimenteel sportbeleid|OVO000070|actief
DVR000000032|True|Nominatieve subsidies|OVO000070|actief
DVR000000033|True|Subsidies internationale sportprojecten|OVO000070|actief
DVR000000034|True|Subsidiëring evenementen - cat. A|OVO000070|actief
DVR000000035|True|Subsidiëring evenementen - cat. B|OVO000070|actief
DVR000000036|True|Subsidiëring evenementen - cat. C|OVO000070|actief
DVR000000037|True|Subsidiëring evenementen - cat. D|OVO000070|actief
DVR000000038|True|Dotatie aan het agentschap Sport Vlaanderen voor topsport|OVO000070|actief
DVR000000039|True|Investeringsdotatie aan Sport Vlaanderen voor Topsportinfrastructuur centra|OVO000070|actief
DVR000000040|True|Decreet erkenning/subsidiëring Georganiseerde Sportsector|OVO000070|actief
DVR000000041|True|Decretale subsidiëring Lokaal Sportbeleid|OVO000070|actief
DVR000000042|True|Decretale subsidiëring Sport in het Hoger Onderwijs|OVO000070|actief
DVR000000043|True|Decretale subsidiëring in het kader van het decreet op de tewerkstelling in de sport|OVO000070|actief
DVR000000044|True|Investeringskredieten Lokale Besturen mbt het decreet inhaalbeweging sportinfrastructuur via alternatieve financiering|OVO000070|actief
DVR000000045|True|Investeringskredieten Topsportinfrastructuur|OVO000070|actief
DVR000000046|True|Investeringskredieten sportinfrastructuur Lokale Besturen|OVO000070|actief
DVR000000047|True|Investeringskredieten financiering voetbalstadions|OVO000070|actief
DVR000000048|True|Ondersteuning openstellen Schoolsportinfrastructuur experimenteel sportbeleid|OVO000070|actief
DVR000000049|True|Ondersteuning Beleidsrelevant wetenschappelijk onderzoek|OVO000070|actief
DVR000000050|True|Investeringsbijdrage uitvoering globaal sportinfrastructuurplan Vlaanderen voor bovenlokale sportinfrastructuur|OVO000070|actief
DVR000000051|True|Facultatieve project- of werkingssubsidies aan een niet-prioritaire onroerenderfgoedpartner|OVO000104|actief
DVR000000052|True|Subsidies aan prioritaire onroerenderfgoedpartners|OVO000104|actief
DVR000000053|True|Premie beheersplannen in beschermde landschappen|OVO000104|actief
DVR000000054|True|Erfgoedpremie|OVO000104|actief
DVR000000055|True|Erfgoedpremie meerjarenovereenkomst|OVO000104|actief
DVR000000056|True|Onderhouds- of landschapspremie voor beschermde landschappen|OVO000104|actief
DVR000000057|True|Onderhoudspremie voor beschermde monumenten|OVO000104|actief
DVR000000058|True|Onderzoekspremie|OVO000104|actief
DVR000000059|True|Premie voor varend erfgoed - BVR van 4/6/2004|OVO000104|actief
DVR000000060|True|Premie voor varend erfgoed - BVR van 27/11/2015|OVO000104|actief
DVR000000061|True|Restauratiepremie|OVO000104|actief
DVR000000062|True|Algemene werkingssubsidies erkende intergemeentelijke onroerenderfgoeddiensten|OVO000104|actief
DVR000000063|True|Algemene werkingssubsidies erkende onroerenderfgoeddepots|OVO000104|actief
DVR000000064|True|Subsidie in functie van een beheersovereenkomst|OVO000104|actief
DVR000000065|True|Projectsubsidie voor educatie en publiekswerking|OVO000104|actief
DVR000000066|True|Projectsubsidie voor vervolgonderzoek archeologie|OVO000104|actief
DVR000000067|True|Subsidie erkende archeologiefondsen|OVO000104|actief
DVR000000070|True|Aanvullende subsidie soorten|OVO000089|actief
DVR000000071|True|Aanvullende subsidie opvolging resultaatsindicatoren|OVO000089|actief
DVR000000073|True|Projectsubsidie aankoop moo bebossing|OVO000089|actief
DVR000000074|True|Projectsubsidie natuur|OVO000089|actief
DVR000000075|True|Restfinanciering Life|OVO000089|actief
DVR000000076|True|Subsidies om terreinen toegankelijk te maken en te houden|OVO000089|actief
DVR000000077|True|Projectsubsidies openstelling|OVO000089|actief
DVR000000078|True|Subsidies voor de werking van de onthaalpoorten|OVO000089|actief
DVR000000079|True|Subsidies voor de opmaak van een beheerplan|OVO000089|stopgezet
DVR000000080|True|Groenjobs|OVO000089|actief
DVR000000081|True|Projectsubsidies Natuur in je Buurt|OVO000089|actief
DVR000000082|True|Projectsubsidies VSGB|OVO000089|actief
DVR000000083|True|Bebossing/herbebossing/inkomenssteun|OVO000089|stopgezet
DVR000000084|True|Subsidies bevordering en uitvoering beleid|OVO000089|actief
DVR000000085|True|Ondersteuning wildbeheereenheden|OVO000089|actief
DVR000000086|True|Ondersteuning VOC's|OVO000089|actief
DVR000000087|True|Draagvlakverbreding voor natuur bij landbouwers|OVO000089|actief
DVR000000088|True|Subsidie voor openstellen bos|OVO000089|stopgezet
DVR000000089|True|Subsidie ecologische bosfunctie|OVO000089|actief
DVR000000090|True|Subsidie erkende natuurreservaten|OVO000089|actief
DVR000000091|True|Natuurprojectovereenkomst|OVO000089|actief
DVR000000093|True|Jachtfonds|OVO000089|actief
DVR000000094|True|Visserijfonds|OVO000089|actief
DVR000000095|True|Natuurinrichting|OVO000089|actief
DVR000000098|True|Subsidies aan het Vlaams Netwerk van verenigingen waar armen het woord nemen|OVO000056|actief
DVR000000099|True|Subsidies aan instituten voor samenlevingsopbouw|OVO000056|actief
DVR000000100|True|Subsidies aan autonoom vrijwilligerswerk in de zorgsector|OVO000056|actief
DVR000000101|True|Subsidies aan voorzieningen algemeen welzijnswerk|OVO000056|actief
DVR000000102|True|Subsidies aan centra voor tele-onthaal|OVO000056|actief
DVR000000103|True|Subsidies aan samenwerkingsverbanden schuldhulpverlening|OVO000056|actief
DVR000000104|True|Subsidies juridische eerstelijnsbijstand|OVO000056|actief
DVR000000105|True|Structurele werkingssubsidies Welzijn en Samenleving|OVO000056|actief
DVR000000106|True|Projectsubsidies in het kader van armoedebestrijding|OVO000056|actief
DVR000000107|True|Projectsubsidies in het kader van samenlevingsopbouw|OVO000056|actief
DVR000000108|True|Projectsubsidies in het kader van het algemeen welzijnswerk|OVO000056|actief
DVR000000109|True|Facultatieve subsidies in het kader van lidmaatschap voor internationale organisaties|OVO000056|actief
DVR000000110|True|Subsidies in het kader van het welzijnsbeleid|OVO000056|actief
DVR000000111|True|Subsidies Vlaams intersectoraal akkoord social profit|OVO000056|actief
DVR000000112|True|Subsidies justitieel beleid|OVO000056|actief
DVR000000113|True|Werkingssubsidie aan de Vlaamse Ouderenraad|OVO000056|actief
DVR000000114|True|Subsidies ter stimulering van een inclusief lokaal ouderenbeleid en de beleidsparticipatie van ouderen|OVO000056|actief
DVR000000115|True|Subsidies aan de Vlaamse organisatie ter ondersteuning van welzijnsbevordering en samenlevingsopbouw|OVO000056|actief
DVR000000116|True|Subsidies aan het Steunpunt welzijn, volksgezondheid en gezin|OVO000056|actief
DVR000000117|True|Subsidies aan het centrum kwaliteitsbewaking|OVO000056|actief
DVR000000118|True|Projectsubsidies in het kader van de integrale jeugdhulpverlening|OVO000056|actief
DVR000000119|True|Subsidies in het kader van het strategisch plan autisme|OVO000056|actief
DVR000000120|True|Subsidies in het kader van Flanders' care|OVO000056|actief
DVR000000123|True|Subsidies alternatieve financiering - 2006|OVO000066|actief
DVR000000124|True|Infrastructuurforfait personen met een handicap|OVO000066|actief
DVR000000125|True|Infrastructuurforfait ouderen|OVO000066|actief
